Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Date	Begin Hour	Begin Path	Begin File	File Offset (s)	Date Check	Time Check	Score	Tags	Notes	column17	raven_filename	Analyst	Verification_2	OLD-Selection	Site	Channel-OLD	hour	file date	date(raven)	Tag 1	Tag 2	fileDate	Begin Path - old
1	Spectrogram 1	01	106.24	110.08	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	106.24	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
2	Spectrogram 1	01	353.28	387.2	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	353.28	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
3	Spectrogram 1	01	389.12	391.04	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	389.12	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
4	Spectrogram 1	01	394.24	401.92	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	394.24	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
5	Spectrogram 1	01	406.4	414.08	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	406.4	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
6	Spectrogram 1	01	419.84	429.44	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	419.84	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
7	Spectrogram 1	01	439.04	446.72	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	439.04	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
8	Spectrogram 1	01	480.64	483.2	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	480.64	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
9	Spectrogram 1	01	516.48	519.04	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	516.48	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
10	Spectrogram 1	01	554.88	558.72	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	554.88	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
11	Spectrogram 1	01	560.64	567.68	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	560.64	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
12	Spectrogram 1	01	579.84	587.52	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	579.84	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
13	Spectrogram 1	01	606.72	609.28	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	606.72	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
14	Spectrogram 1	01	613.76	616.32	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	613.76	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
15	Spectrogram 1	01	624.64	629.12	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	624.64	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
16	Spectrogram 1	01	704.0	710.4	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	704.0	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
17	Spectrogram 1	01	933.76	940.8	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	933.76	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
18	Spectrogram 1	01	1119.36	1121.28	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	1119.36	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
19	Spectrogram 1	01	1272.32	1275.52	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	1272.32	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
20	Spectrogram 1	01	1377.92	1384.96	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	1377.92	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
21	Spectrogram 1	01	1506.56	1511.04	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	1506.56	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
22	Spectrogram 1	01	2014.72	2018.56	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	2014.72	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
23	Spectrogram 1	01	2021.12	2029.44	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	2021.12	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
24	Spectrogram 1	01	2044.16	2048.0	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	2044.16	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
25	Spectrogram 1	01	2145.28	2152.96	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	2145.28	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
26	Spectrogram 1	01	2160.64	2165.12	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	2160.64	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
27	Spectrogram 1	01	2195.84	2201.6	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	2195.84	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
28	Spectrogram 1	01	2243.2	2262.4	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	2243.2	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
29	Spectrogram 1	01	2275.2	2301.44	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	2275.2	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
30	Spectrogram 1	01	2302.72	2328.96	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	2302.72	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
31	Spectrogram 1	01	2337.28	2390.4	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	2337.28	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
32	Spectrogram 1	01	2393.6	2404.48	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	2393.6	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
33	Spectrogram 1	01	2409.6	2411.52	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	2409.6	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
34	Spectrogram 1	01	2412.8	2415.36	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	2412.8	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
35	Spectrogram 1	01	2449.92	2464.64	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	2449.92	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
36	Spectrogram 1	01	2510.08	2518.4	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	2510.08	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
37	Spectrogram 1	01	2519.68	2524.16	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	2519.68	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
38	Spectrogram 1	01	2538.88	2540.8	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	2538.88	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
39	Spectrogram 1	01	2567.04	2576.0	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	2567.04	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
40	Spectrogram 1	01	2710.4	2715.52	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	2710.4	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
41	Spectrogram 1	01	2764.16	2769.92	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	2764.16	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
42	Spectrogram 1	01	2802.56	2812.16	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	2802.56	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
43	Spectrogram 1	01	2864.64	2869.76	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	2864.64	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
44	Spectrogram 1	01	2930.56	2933.12	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	2930.56	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
45	Spectrogram 1	01	2981.76	2997.12	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	2981.76	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
46	Spectrogram 1	01	3013.12	3021.44	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	3013.12	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
47	Spectrogram 1	01	3217.92	3222.4	5	250	01/01/1970	00	hour_twenty_three.wav	hour_twenty_three.wav	3217.92	01/01/1970	00:00:00.000	0.9	Maybe Rumble	Maybe Rumble	Maybe Rumble	possible_rumbles.txt									Maybe Rumble	Maybe Rumble		
